id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
324,48,3,22,5,9,-1.6577,1.0,0.0089239,0,3.1781,80,1,0.0,,333.52,759.9,1906.3
324,48,3,23,6,9,-1.571,0.848,0.0058176,0,4.7875,80,1,3.0,1.0,-467.81,750.94,3189.6
324,48,3,24,7,9,-1.4911,0.73697,0.0040189,0,4.7875,80,1,3.0,1.0,-52.434,751.1,2726.4
324,48,3,25,8,9,-1.4183,0.65208,0.0028992,0,4.7875,80,1,0.0,,356.13,750.93,2349.7
324,48,3,26,9,9,-1.5466,3.585,0.038369,1,3.1781,80,0,0.0,,651.56,274.71,0.0
325,48,4,27,1,7,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,411.12,597.54,1686.4
325,48,4,28,2,7,-1.9183,2.3219,0.070299,0,0.0,80,0,0.0,,759.89,750.95,1946.4
325,48,4,29,3,7,-1.8424,1.585,0.028306,0,0.69315,80,1,0.0,,325.36,251.76,1426.4
325,48,4,30,4,7,-1.75,1.2224,0.014874,0,1.7918,80,1,0.0,,310.57,750.93,2356.4
325,48,4,31,5,7,-1.6577,1.0,0.0089239,0,3.1781,80,1,0.0,,342.66,750.94,3029.5
325,48,4,32,6,7,-1.571,0.848,0.0058176,0,4.7875,80,1,0.0,0.0,414.6,750.85,2216.4
325,48,4,33,7,7,-1.6858,3.3219,0.044315,1,3.1781,80,0,0.0,,423.28,-270.14,806.58
326,48,5,34,1,4,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,409.37,859.15,1949.8
326,48,5,35,2,4,-1.7925,1.3219,0.029447,0,0.69315,80,1,0.0,,201.52,751.0,2496.3
326,48,5,36,3,4,-1.8424,2.585,0.063322,0,0.69315,80,0,0.0,,493.49,906.55,1913.1
326,48,5,37,4,4,-1.75,1.2224,0.014874,1,1.7918,80,1,,,,,
327,48,6,38,2,12,-1.9219,2.0,0.078072,0,0.0,100,1,0.0,,1519.4,905.95,886.53
327,48,6,39,3,12,-1.7925,1.3219,0.029447,0,0.69315,100,1,2.0,1.0,-528.23,528.02,2556.3
327,48,6,40,4,12,-1.6645,1.0,0.014772,0,1.7918,100,1,,,,,
327,48,6,41,5,12,-1.5488,0.80735,0.00856,0,3.1781,100,1,1.0,0.0,618.91,472.07,1353.2
327,48,6,42,6,12,-1.4466,0.67807,0.0054313,0,4.7875,100,1,1.0,0.0,1087.5,750.87,1656.5
327,48,6,43,7,12,-1.3568,0.58496,0.0036716,0,6.5793,100,1,0.0,,766.29,750.96,4899.3
327,48,6,44,8,12,-1.2776,0.51457,0.002602,0,6.5793,100,1,2.0,1.0,-3234.5,164.86,4899.3
327,48,6,45,9,12,-1.2075,0.45943,0.0019129,0,6.5793,100,1,2.0,1.0,-119.56,750.91,2879.6
327,48,6,46,10,12,-1.1451,0.41504,0.0014482,0,6.5793,100,1,0.0,,329.07,-537.67,633.25
327,48,6,47,11,12,-1.0892,0.37851,0.0011233,0,6.5793,100,1,,,,,
327,48,6,48,12,12,-1.0389,0.34792,0.00088903,0,6.5793,100,1,0.0,,359.74,1106.1,1136.6
328,48,7,49,2,5,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,72.859,750.93,2653.0
328,48,7,50,3,5,-1.9183,2.3219,0.070299,0,0.0,60,0,0.0,,898.06,431.29,1033.2
328,48,7,51,4,5,-1.9502,2.585,0.063322,0,0.0,60,1,0.0,,1800.0,999.86,699.88
328,48,7,52,5,5,-1.9056,1.8074,0.026716,1,0.69315,60,1,,,,,
329,49,1,1,1,14,-1.9219,2.0,0.078072,0,0.0,100,0,0.0,,682.86,749.95,1996.4
329,49,1,2,2,14,-1.7925,1.3219,0.029447,0,0.69315,100,1,0.0,,897.82,924.3,1526.5
329,49,1,3,3,14,-1.6645,1.0,0.014772,0,1.7918,100,1,2.0,0.0,1049.9,563.14,1013.2
329,49,1,4,4,14,-1.5488,0.80735,0.00856,0,3.1781,100,1,0.0,,478.69,78.529,1099.8
