"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"196" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"197" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
"198" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"199" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"200" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"201" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"203" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"204" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"205" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"206" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"207" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"209" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"210" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"211" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"212" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"213" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
"214" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"215" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"216" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"217" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"218" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"219" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"220" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"221" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"222" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"223" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"224" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"225" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
"226" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"227" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"228" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"229" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"230" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"231" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"232" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"233" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"234" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"235" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"236" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"237" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"238" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"239" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"240" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"241" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
"242" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"243" 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
"244" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"245" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"246" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"247" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"248" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"249" 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
"250" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"251" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"252" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"253" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"254" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"255" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"256" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"257" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"258" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"259" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"260" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"261" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"262" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"263" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"264" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"265" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"266" 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"267" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"268" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"269" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
